F, CR, fitness
0.5603515625000001, 0.6029296875, 1.8719107264419782E-70
0.8041015625, 0.24667968749999997, 9.544171645620561E-40
1.7791015625, 0.7216796875, 1191.8623486502718
1.2916015625, 0.48417968749999996, 308.67452993797343
0.3166015625, 0.9591796875, 270.8260605349847
0.4384765625, 0.0685546875, 3.3557066658551485E-93
1.4134765625, 0.5435546875, 1048.6572561899673
1.9009765625, 0.3060546875, 390.0398967179912
0.9259765625, 0.7810546875, 0.075041222666894
0.6822265625, 0.42480468749999994, 3.4276112556481257E-45
1.6572265625, 0.8998046875, 1171.1960224652041
1.1697265625, 0.1873046875, 4.60553773954873E-16
0.19472656249999998, 0.6623046875, 57.55552341720936
0.2556640625, 0.2169921875, 0.0399110919160259
1.2306640625, 0.6919921875, 1106.9398339699685
1.7181640625, 0.4544921875, 1095.6433400959236
0.7431640625, 0.9294921875, 4.8874596351251115E-30
0.9869140625, 0.33574218749999996, 6.404775423652715E-13
1.9619140625, 0.8107421875, 1197.6065676597257
1.4744140625, 0.0982421875, 3.1640514488025297E-16
0.4994140625, 0.5732421875, 1.4348047657924256E-98
0.37753906249999997, 0.5138671875, 4.8931086203410186E-17
1.3525390625, 0.9888671875, 1145.1354816059272
1.8400390625, 0.2763671875, 85.5392325960287
0.8650390625000001, 0.7513671875, 0.00036646043038226025
0.6212890625, 0.15761718749999998, 3.5913184335027277E-75
1.5962890625, 0.6326171875000001, 1184.4640551022396
1.1087890625, 0.39511718749999997, 0.0011327437966712239
0.1337890625, 0.8701171875, 387.67606386269625
0.1642578125, 0.1130859375, 1.291177579179505
1.1392578125, 0.5880859375, 290.3206454700971
1.6267578125, 0.3505859375, 238.25534154969674
0.6517578125, 0.8255859375, 6.8159033987459726E-43
0.8955078125, 0.46933593749999997, 1.4624570408486502E-10
1.8705078125, 0.9443359375, 1167.1593505237252
1.3830078125, 0.23183593749999998, 2.4761885661002957E-05
0.40800781249999996, 0.7068359375000001, 1.7583991472962321E-06
0.5298828125, 0.2912109375, 7.089549805129242E-95
1.5048828125, 0.7662109375, 1192.310051387176
1.9923828125, 0.0537109375, 1.8479425653051164E-14
1.0173828125, 0.5287109375, 0.08383865087105681
0.7736328125, 0.1724609375, 9.142601235563862E-51
1.7486328125, 0.6474609375, 1136.9103921825688
1.2611328125, 0.40996093749999996, 5.444127571356118
0.2861328125, 0.8849609375, 132.39390450816197
0.22519531250000002, 0.4396484375, 3.0790587864991275
1.2001953125, 0.9146484375, 1127.3435131794581
1.6876953125, 0.2021484375, 0.015097238764436468
0.7126953125000001, 0.6771484375, 4.0340528302897846E-23
0.9564453125, 0.0833984375, 5.171541866605554E-41
1.9314453125, 0.5583984375000001, 1165.2637467477184
1.4439453125, 0.32089843749999997, 2.7872827626269987
0.4689453125, 0.7958984375, 6.082005158573068E-39
0.3470703125, 0.2615234375, 1.284812306039423E-150
1.3220703125, 0.7365234375, 1140.6208357016808
1.8095703125, 0.49902343749999994, 1171.586661568205
0.8345703125, 0.9740234375, 38.982122616110196
0.5908203125, 0.3802734375, 1.1049045498773577E-72
1.5658203125, 0.8552734375, 1160.3231447469443
1.0783203125, 0.1427734375, 6.147996491604586E-26
0.10332031250000001, 0.6177734375, 137.35160039401302
0.0880859375, 0.2392578125, 34.24741273872822
1.0630859375, 0.7142578125, 364.56954934003505
1.5505859375, 0.4767578125, 1034.086767541034
0.5755859375, 0.9517578125, 6.485382708876794E-54
0.8193359375, 0.35800781249999997, 5.6080582457275976E-27
1.7943359375, 0.8330078125, 1169.23333043543
1.3068359375, 0.1205078125, 2.522546115939903E-18
0.33183593749999996, 0.5955078125000001, 0.30243602587206503
0.45371093749999997, 0.4173828125, 1.3767746799566805E-121
1.4287109375, 0.8923828125, 1185.4093323213358
1.9162109375, 0.1798828125, 0.09391060939589721
0.9412109375000001, 0.6548828125, 0.18867650219329707
